runder,tiderISekund,poeng,handlinger,feil
1,130,856,17,13
2,141,943,16,5
3,123,724,20,17
4,109,375,22,11
5,126,451,25,9
6,129,1118,21,9
7,130,0,28,7
8,115,0,24,5
9,116,325,21,12
10,110,0,23,9
11,119,287,22,8
12,111,334,23,4
13,121,889,21,11
14,106,0,21,14
15,121,0,28,8
16,141,142,25,11
17,113,502,21,7
18,110,308,20,9
19,115,0,21,12
20,86,167,30,9
21,111,1399,32,10
22,111,115,34,10
23,123,0,21,10
24,114,721,25,12
25,115,698,37,12
26,104,0,26,7
27,102,1045,26,5
28,136,331,27,8
29,119,958,32,5
30,118,55,29,12
31,100,1050,35,7
32,108,772,26,8
33,91,839,32,8
34,120,722,31,7
35,114,1398,28,10
36,131,296,24,10
37,108,462,36,6
38,117,671,28,10
39,112,1216,28,10
40,98,936,40,10
41,113,748,29,9
42,108,1430,33,12
43,96,1412,36,9
44,89,108,37,7
45,104,1274,35,8
46,101,1055,52,6
47,126,913,38,12
48,123,170,37,8
49,109,50,37,4
50,88,1054,37,10
51,113,403,37,9
52,106,1958,48,6
53,106,900,25,9
54,99,635,31,12
55,116,884,48,5
56,103,775,38,10
57,124,1640,37,11
58,105,888,50,5
59,106,1282,47,7
60,102,869,36,8
61,87,1992,48,12
62,117,994,37,7
63,96,1115,45,8
64,103,1295,47,11
65,103,1261,41,8
66,82,2128,48,6
67,104,891,50,7
68,100,1156,31,5
69,105,1707,44,11
70,81,1869,49,12
71,111,2120,54,3
72,97,1162,58,6
73,101,2633,53,7
74,90,2414,42,7
75,107,1903,46,15
76,88,1369,50,3
77,104,1881,45,5
78,89,1668,51,8
79,92,2659,54,12
80,89,2394,43,7
81,98,2875,50,10
82,87,2938,46,7
83,100,2711,50,6
84,84,3227,54,8
85,99,2628,57,11
86,106,3508,32,10
87,90,3150,57,12
88,94,3272,52,10
89,79,3280,51,10
90,96,3089,59,7
91,90,3582,57,10
92,117,3752,51,5
93,82,3917,56,4
94,97,3615,49,5
95,90,3773,47,1
96,106,3221,55,5
97,111,4328,57,7
98,80,4038,57,7
99,101,4709,58,4
100,97,4607,54,6
101,86,4025,62,5
102,101,4346,57,10
103,94,4627,71,7
104,104,4522,59,2
105,81,4711,50,11
106,87,5342,62,6
107,91,4835,69,5
108,102,4744,71,3
109,96,4972,52,6
110,96,4943,60,8
111,94,5105,69,6
112,84,4040,69,9
113,97,5124,65,4
114,71,5181,64,4
115,93,5125,63,6
116,101,4471,68,9
117,91,6173,65,3
118,92,5422,60,3
119,82,5959,59,8
120,93,5183,72,9
121,94,5854,58,7
122,90,5588,60,7
123,88,5580,73,6
124,77,5649,62,6
125,80,5796,62,8
126,80,6028,75,12
127,87,5787,54,5
128,85,5889,49,5
129,77,5624,69,9
130,63,5684,72,10
131,93,6072,67,8
132,88,5741,56,4
133,95,5623,55,6
134,92,5705,71,8
135,81,5546,80,7
136,78,6107,82,11
137,65,5731,83,4
138,78,5949,76,8
139,80,5875,68,7
140,71,6079,69,4
141,89,5953,69,4
142,81,5388,82,6
143,91,6399,74,8
144,86,5302,75,7
145,85,6301,78,2
146,85,5628,84,4
147,76,6136,82,4
148,86,5624,79,5
149,65,5995,62,6
150,81,6290,84,4
151,79,5724,64,6
152,85,5103,89,5
153,79,5991,68,2
154,77,6066,84,8
155,80,5915,84,3
156,78,5874,65,8
157,85,5898,91,11
158,61,6161,86,6
159,70,5663,76,2
160,87,6113,81,10
161,79,6005,87,8
162,77,6403,69,7
163,73,5836,87,5
164,76,5720,84,8
165,71,5956,79,6
166,71,6145,72,5
167,84,5620,76,7
168,67,6104,70,5
169,82,5764,78,8
170,64,5369,88,6
171,81,5953,93,3
172,62,5822,86,3
173,75,6313,86,7
174,73,6128,88,3
175,74,6267,97,3
176,80,6291,101,5
177,67,5896,99,7
178,69,5759,81,7
179,69,5829,86,9
180,66,6067,72,4
181,72,5611,85,1
182,70,6047,92,1
183,78,6072,100,2
184,64,5668,92,5
185,73,6097,105,2
186,63,5761,93,6
187,85,5894,83,3
188,74,6209,81,1
189,60,5857,90,3
190,82,6427,100,1
191,73,5593,115,1
192,61,5879,80,4
193,73,5862,103,8
194,70,5997,103,3
195,60,5849,109,5
196,68,5822,103,8
197,67,5960,87,2
198,58,6155,106,4
199,75,5732,90,6
200,64,5867,95,2
201,60,5553,103,1
202,61,6264,89,5
203,67,6084,92,3
204,73,5946,94,1
205,73,6122,106,5
206,57,5840,88,1
207,61,6288,105,6
208,67,5715,86,3
209,63,6043,88,5
210,65,6057,117,5
211,60,6188,95,8
212,55,6100,82,5
213,61,5969,109,3
214,71,6129,108,5
215,51,6047,108,5
216,62,6079,113,4
217,62,5793,102,6
218,64,5924,106,0
219,69,5951,112,5
220,69,6054,96,4
221,59,6145,90,4
222,58,5923,117,2
223,68,5773,95,4
224,61,5922,100,4
225,57,6012,101,2
226,65,6116,115,4
227,55,6058,116,4
228,59,6073,109,1
229,53,6341,103,1
230,58,6168,101,6
231,59,6027,103,2
232,54,6162,125,2
233,55,5992,99,3
234,53,5971,93,2
235,54,6168,105,2
236,56,6119,92,2
237,59,6102,108,1
238,58,5862,99,5
239,57,6014,110,3
240,63,5918,114,3
241,54,5859,103,1
242,46,5996,126,4
243,48,5974,109,2
244,52,6043,118,5
245,42,5969,127,1
246,62,6013,128,2
247,52,6022,101,3
248,49,6140,104,3
249,52,5883,122,3
250,50,5996,146,1
251,51,5736,115,4
252,50,6199,114,4
253,48,6106,136,3
254,56,6178,111,2
255,50,6005,128,4
256,60,5960,129,1
257,52,5888,131,2
258,47,5832,120,1
259,52,6052,121,3
260,55,6034,113,5
261,47,6012,101,0
262,59,6103,114,0
263,51,6023,114,1
264,54,6040,104,2
265,47,6066,124,1
266,39,6046,115,5
267,51,6121,113,0
268,46,6052,132,1
269,45,6104,119,1
270,54,6007,96,4
271,57,6072,110,1
272,47,6191,104,1
